epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4871,4.74238,4.66776,3.44596,4e-05,0.34375,9e-05,3e-05,3.70005,3.86635,2.77185,0.000551326,0.000551326,0.000551326
2,37.0555,2.98158,2.66968,2.09154,0.10233,0.56618,0.06946,0.01589,2.89602,3.09364,2.23878,0.00103393,0.00103393,0.00103393
3,54.1434,2.43524,1.8924,1.68606,0.06681,0.4424,0.05238,0.01289,2.71548,3.36233,2.07871,0.00144319,0.00144319,0.00144319
4,70.9869,2.32739,1.69458,1.58708,0.01728,0.73529,0.05351,0.01369,2.7116,3.82049,2.02849,0.00133693,0.00133693,0.00133693
5,87.5673,2.23968,1.59193,1.54443,0.09671,0.20762,0.05441,0.01144,2.80859,3.47665,2.07371,0.00122691,0.00122691,0.00122691
6,124.277,2.17525,1.57749,1.57371,0.15241,0.4758,0.08664,0.0221,2.52921,3.4773,1.89841,0.00111689,0.00111689,0.00111689
7,141.316,2.13309,1.45855,1.54504,0.08611,0.64737,0.06005,0.01744,2.46752,4.47666,1.79737,0.00100687,0.00100687,0.00100687
8,158.554,2.11397,1.38044,1.52339,0.17753,0.62898,0.11998,0.03686,2.42119,4.43288,1.76198,0.000896846,0.000896846,0.000896846
9,175.411,2.10827,1.31819,1.52249,0.18501,0.68229,0.16897,0.05125,2.64531,2.36556,1.98133,0.000786824,0.000786824,0.000786824
10,192.207,2.08139,1.2812,1.51399,0.13047,0.79197,0.138,0.04181,2.54979,3.70441,1.8933,0.000676802,0.000676802,0.000676802
11,209.017,2.06544,1.25083,1.49945,0.16885,0.84498,0.20246,0.06007,2.44497,3.56564,1.83076,0.00056678,0.00056678,0.00056678
12,225.751,2.04297,1.19591,1.47651,0.1233,0.8223,0.13113,0.03733,2.62218,3.45619,1.92727,0.000456758,0.000456758,0.000456758
13,242.431,2.02396,1.15609,1.46241,0.17156,0.76961,0.15955,0.04736,2.47499,4.05103,1.81518,0.000346736,0.000346736,0.000346736
14,259.488,2.0089,1.16012,1.44523,0.13802,0.77328,0.13313,0.03842,2.56383,3.71775,1.88845,0.000236714,0.000236714,0.000236714
15,276.644,1.9937,1.1246,1.44999,0.18961,0.78033,0.1722,0.0522,2.46171,3.8812,1.80919,0.000126692,0.000126692,0.000126692
